Country,Suicide prevention programme,Mental Health Awareness /Anti- stigma,Early Child Development,School based mental health prevention and promotion,Parental / Maternal mental health promotion and prevention,Work-related mental health prevention and promotion,"Mental health and psychosocial component of disaster preparedness, disaster risk reduction"
Guyana,"Self harm surveillance,National, Government, Yes","Name not available,National,Government, Yes","-,-,-,-","Name not available, National,Government, Yes","-,-,-,-","Name not available, National, Government, Yes","-,-,-,-"
Haiti,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Honduras,"-,-,-,-","-,-,-,-","Name not available, National, Government, No","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Hungary,"Youth Aware of Mental Health Programme(YAM),National,NGO,Yes","European Alliance Against Depression(EEAD),National,NG),No","Youth Aware of Mental Health Programme(YAM),National,NGO,Yes","Youth Aware of Mental Health Programme(YAM),National,NGO,Yes","Facilities by Health Visitors,National, Government,Yes","Programme of Selye János Magyar Magatartástudományi és Magatartásorvoslási Társaság  (WÉK),Regional,NGO,No","-,-,-,-"
Iceland,"Training in suicide prevention,-,-,No","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Indonesia,"Suicide prevention guideline,National,Government,Yes","Anti stigma campaign with Ministry of Religious affairs,National,Jointly managed, Yes","Parenting guideline in MCH book,National,Jointly managed,Yes","Mental health training at School settings,National,Jointly managed,Yes","Socialization of Guideline on Maternal depression, National,Jointly managed, Yes","Wellness program,National, Jointly Managed, Yes","Deployment of mental health workers in the disaster locations,National, Jointly managed, Yes"
Iran,"The National Suicide Prevention Program,National, Government,Yes","The Mental Health Self-care Program,National, Government, Yes","The Well Child Program of the MOH,National, Government, Yes","The School Mental Health Program,District, Government, Yes","The National Parenting Skills Training Program,National,Government, Yes","The Workplace Mental Health Promotion Plan,National,Government, Yes","The National Program for Psycho-social Support in Emergencies of the Islamic Replubic of Iran,National, Government,Yes"
Iraq,"Suicide registration,National,Government,Yes","Mental health promotion,National, Jointly managed, No","-,-,-,-","Mental health in schools, National,Government,No","-,-,-,-","-,-,-,-","-,-,-,-"
Ireland,"Connecting for Life, National, Government, Yes","Green Ribbon, National, Government, Yes","National Healthy Childhood Programme, National, Government, Yes","Zippy's friends, National,Government, Yes","-,-,-,-","Mental Health First Aid, National, NGO, Yes","-,-,-,-"
Italy,"-,-,-,-","Awareness campaign Anti-stigma 2018,National,-,Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Jamaica,"1 a. Mental Health Promotion and Prevention Programme,National,Government, Yes","Mental Health Media Campaign,National, Government, Yes","Early Childhood Stimulation Programme,National, Government, Yes","School Mental Health Literacy Programme,National,Government, Yes","Mental Health Media Campaign,National, Government, No","Mental Health Media Campaign,National, Government, No","Mental Health and Psychosocial Support in Emergencies,National,Government,No"
Japan,"The General Principles of Suicide Prevention Policy,National, Government, Yes","Portal site called ""Minnano mental health"",National, Government, No","Child development(involving medical intervention),National, Government, Yes","National Curriculum Standard,National,Government, Yes","-,-,-,-","Stress Check System, National, Government, Yes","Psychological First Aid,National, Government,Yes"
Jordan,"-,-,-,-","WMHD,National,Jointly managed, Yes","-,-,-,-","School mental health package,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Kazakhstan,"Youth Suicide Prevention Programme,National,Government,Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Kenya,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Kiribati,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Kuwait,"https://www.instagram.com/p/B7xp31Lgntb/?igshid= 55er6bir1yks,National,Government, Yes","Taqabal Awareness Campaign,National,Jointly managed, Yes","-,-,-,-","Multiple lectures and workshops,-,-,No","-,-,-,-","Multiple orientations sessions,-,-,-","-,-,-,-"
Lao People's Democratic Republic,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Latvia,"Evidence-Based Secondary Mental Health Prevention Program for the Prevention and Mitigation of Mental and Behavioral Disorders,National,Government,Yes","1. Nenovērsies (Don't Turn Away) 2. Implementation of the concept of public relations on reducing stigmas in the field of mental health”, as a result of which is campaign “Everything is Norm.a ” (started in 2020). 3. Mental health promotion and prevention program for residents over 54 years of age “My resources for strength, well-being, health, National, Government, Yes","1. Education program for medical practitioners “Perinatal psychiatry: early diagnosis and treatment of mental disorders”,National,Government,Yes","1. Bullying prevention program for 7-9 grade students ""Understand Yourself - Understand Others"" 2. Inter-ministerial working group on reducing bullying in schools and following public awareness campaign on reducing bullying in schools 3. Mental health promotion and prevention program for grades 7-9 and 10-12. class students, National,Government,Yes","-,-,-,-","-,-,-,-",
Lebanon,"National hotline for emotional support and suicide prevention,National,NGO,Yes","Annual national awareness campaigns on mental health  + social media awareness campaigns in response to situation (COVID-19, Beirut explosion, etc),National,Jointly managed,Yes","National inter-ministerial ECD Strategy development,National,Government,No","Piloting integration of Life skills education programmes in schools / Action plan on mental health and substance use prevention and promotions in schools / Youth Mental Health Campaign,National,Government,Yes","Training on mental health for midwives,National, Government, Yes","Mental health in the workplace,National, Jointly managed,Yes","MHPSS coordination mechanism (task force)/National action plan for the MHPSS response to Beirut explosion,National,Jointly managed, Yes"
Liberia,"-,-,-,-","Speak Your mind Global Campaign,Regional,NGO,-","Family Health Division and Nutrition/MOH,National,Government,Yes","The Carter Center and Ministry of Health School Mental Health Program,National,Jointly managed,Yes","Enhancing Maternal Mental Health and Well-Being: Adapting ‘Thinking Healthy’ Intervention in Liberia & Knowledge Generation,National,Jointly managed, Yes","-,-,-,-","-,-,-,-"
Libya,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Lithuania,"Suicide prevention ""gatekeeper"" training,National,Government, Yes","National public health promotion fund communication campaign, National,Government,Yes","""Incredible years"" programme,Regional,Jointly managed, Yes","Zippy's friends / The order of the Minister of Health of the Republic of Lithuania to increase mental health literacy and strengthen competency of school workers,National,Jointly managed,Yes","""Incredible years"" programme,Regional,Jointly managed,Yes","The order of the Minister of Health of the Republic of Lithuania to increase mental health literacy and strengthen mental health of employees,National,Government,Yes","-,-,-,-"
Madagascar,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Malaysia,"Integrated into national SP programmes,National,Government,-","Let's talk  MINDA SIHAT,National,Government,-","-,-,-,-","Healthy Mind in School Programme,National,Jointly managed, Yes","-,-,-,-","Kospen plus (mental health at workplace),National,Government,Yes",Mental Health and Psychosocial Support in Disaster
Maldives,"-,-,-,-","-,-,-,-","-,-,-,-","Education Ministry with UNICEF for school based program,-,-,-","-,-,-,-","-,-,-,-","Psychosocial support program,-,-,-"
Mali,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Marshall Islands,"School & Community  Outreach Program,National, Government, Yes","Mental Health Program,National, Government, Yes","Mental Health/MCH Program,National, Jointly managed,Yes","School Outreach, National, Government, Yes","Promotion and Preventation ,National, Government, Yes","Trainings Workshops,National,Government, Yes, ","Psychological  and Psychosocial Rehabilitation,National,Jointly managed,Yes"
Mauritius,"Talks in media and community Flyers HSSP 2020-2024 Hotlines,National, Jointly managed, Yes","Talks in media and community,National, Government, Yes","In HSSP 2020-2024 Plan, National, Government, Yes","In HSSP 2020-2024 Action Plan on adolescent Health Talks on Mental Health ,National,Government, Yes","HSSP 2020-2024,National, Government, Yes","Talks by Psychologists Talks on Mental Health,National, Government, Yes","Existing Services, National, Government, Yes"
Mexico,"Programa de acción específico de atención psiquiátrica, Regional,Government, Yes","-,-,-,-","Lineamiento 2019 del componente vigilancia del desarrollo en la primera infancia,National,Government, Yes","""Cuidar de Otros es cuidar de sí mismo. Herramientas de Soporte Socioemocional para la Educación en Contextos de Emergencia”,National,Government,Yes","-,-,-,-","-,-,-,-","Grupo Técnico de Trabajo en salud mental en emergencias,National, Government,Yes"
Micronesia,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Monaco,"-,-,-,-","Integrated into national MHA programmes,National,Government,-","Plan de prévention DENJS,National,Government,-","Plan de prévention DENJS,National,Government,Yes","Integrated into national Parental/Maternal programmes,National,Government,-","Integrated into national WR programmes,National,Private,-","Integrated into national WR programmes,National,Government,-"
Mongoli,"National programme on the prevention and control of  non commumicable diseases,National,Government,Yes","National programme on the prevention and control of  non commumicable diseases,National,Government, Yes","Mother, Child and Reproductive Health National Program,National,Government,Yes","-,-,-,-","Mother, Child and Reproductive Health National Program,National,Government,Yes","-,-,-,-","-,-,-,-"
Montenegro,"-,-,-,-","-,-,-,Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Morocco,"-,-,-,-","-,-,-,-","Impulsion du capital humain des générations montantes,National,Government,Yes","-,-,-,-","-,-,-,-","-,-,-,-","Emergency organization plan,Regional, Government,Yes"
Myanmar,"-,-,-,-","-,-,-,-","-,-,-,-","School Mental Health,National,Government,No","-,-,-,-","-,-,-,-","-,-,-,-"
Namibia,"National Suicide Prevention Programme, National,Jointly managed, Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Nepal,"-,-,-,-","Day celebrations,National,Government, No","ECD,National,Jointly managed,Yes","-,-,-,-","-,-,-,-","-,-,-,-","Integrated into national DRR programmes,National,Jointly managed,No"
New Zealand,"LifeKeepers,National,NGO,Yes","Like Minds Like Mine, National,NGO,Yes","-,-,-,-","Includes school-based health services, National,Jointly managed,Yes","Includes Triple P,National,NGO,Yes","Includes school-based health services,National,Government, Yes","Includes COVID-19 mental health and wellbeing resources,National, Jointly managed,Yes"
Nicaragua,"Programa de prevención de la conducta suicida,National,Government, Yes","-,-,-,-","Programa ""Amor para los más Chiquitos"",National,Government,Yes","Consejeria Escolar,National,Government,Yes","-,-,-,-","-,-,-,-","SI-PRED (Sistema Nacional de Prevención de Desastres),National,Government, Yes"
Niger,"-,-,-,-","PNSM,National,Government, Yes","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","Integrated into national DRR programmes,National,Government,-"
Nigeria,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Niue,"-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-","-,-,-,-"
Norway,"National action plan for suicide prevention,National,Government,Yes","Several are in use like POFU, National,NGO,No","Opptrappingsplan for barn og unges psykiske helse (2019-2024),National,Government,Yes","School health service in every school,National,Government,Yes","Training program ""Tidlg inn"",National,Government,Yes","Integrated into national WR programmes,National,Government,Yes","National guidelines,National,Government,Yes"
Oman,"-,-,-,-","-,-,-,-","Autism programme,National,Government,Yes","School mental health protocol,Regional,Government,No","-,-,-,-","-,-,-,-","-,-,-,-"
Pakistan,"-,-,-,-","-,-,-,-","-,-,-,-","School mental Health Program,District,Jointly managed,Yes","-,-,-,-","-,-,-,-","Psychological First Aid Program,Regional,Jointly managed,Yes"
Palau,"-,-,-,-","Project Kerreu, National,Government,Yes","-,-,-,-","Project Kerreu, National,Government,Yes","Primary Care Integration,National,Government,Yes","Primary Care Integration,National,Government,Yes","Critical Incident Stress Management,National,Government,Yes"
